BAE,DataID,Divisi,EfekEmiten_EBA,EfekEmiten_ETF,EfekEmiten_Obligasi,EfekEmiten_Saham,EfekEmiten_SPEI,Industri,SubIndustri,Email,Fax,id,JenisEmiten,KegiatanUsahaUtama,KodeDivisi,KodeEmiten,NamaEmiten,NPKP,NPWP,PapanPencatatan,Sektor,SubSektor,TanggalPencatatan,Telepon,Website,Status,Logo
PT. Datindo Entrycom,0,,False,False,False,True,False,Barang Kimia,Barang Kimia Dasar,corporate@polychemindo.com,(62-21) 57945832-34,0,,Kimia dan Tekstil ,,ADMG,Polychem Indonesia Tbk,,01.326.008.8-092.000,Utama,Barang Baku,Barang Baku,1993-10-20T00:00:00,(62-21) 5744848,www.polychemindo.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADMG.jpg
PT. Ficomindo Buana Registrar,0,,False,False,False,True,False,Batu Bara,Produksi Batu Bara,corsec@adarominerals.id,(021) 2553 3059,0,, Pertambangan,,ADMR,PT Adaro Minerals Indonesia Tbk,,02.672.163.9-063.000,Pengembangan,Energi,"Minyak, Gas & Batu Bara",2022-01-03T00:00:00,(021) 2553 3060,www.adarominerals.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADMR.jpg
PT. Ficomindo Buana Registrar,0,,False,False,False,True,False,Batu Bara,Produksi Batu Bara,mahardika.putranto@adaro.com ; aditya.sudjono@adaro.com ,021-5211266 ,0,,Pertambangan Batubara(Coal Mining),,ADRO,Adaro Energy Indonesia Tbk,-,02.399.244.9-091.000,Utama,Energi,"Minyak, Gas & Batu Bara",2008-07-16T00:00:00,021-25533000 ,www.adaro.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ADRO.jpg
PT. Sharestar Indonesia,0,,False,False,False,True,False,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",admin@asiamina.com,(021) 21192523,0,,perdagangan dan industri rumput laut,,AGAR,PT Asia Sejahtera Mina Tbk,,02.881.392.1-036.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2019-12-02T00:00:00,(021) 21192523,www.asiamina.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AGAR.jpg
,0,,False,False,True,True,False,Barang Kimia,Barang Kimia Dasar,corsec@anekagas.com,021 - 83709911,0,,"memproduksi, memasarkan dan menjual berbagai macam gas untuk industri dan produk-produk terkait di Republik Indonesia dalam bentuk gas, cair ataupun padat",,AGII,PT Aneka Gas Industri Tbk.,,01.002.124.4-038.000,Utama,Barang Baku,Barang Baku,2016-09-28T00:00:00,021 - 83709111,www.anekagas.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AGII.jpg
,0,,False,False,True,True,False,Bank,Bank,humas@bankraya.co.id,021-50931494,0,,Perbankan,,AGRO,PT Bank Raya Indonesia Tbk,,01.347.428.3-054.000,Utama,Keuangan,Bank,2003-08-08T00:00:00,021-50931300,bankraya.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AGRO.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Bank,Bank,corsec@ibk.co.id,+62 21 5790 6888,0,,Perbankan,,AGRS,PT Bank IBK Indonesia Tbk.,-,01.311.830.2-073.000,Pengembangan,Keuangan,Bank,2014-12-22T00:00:00,+62 21 5790 8888,www.ibk.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AGRS.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Asuransi,Asuransi Umum,harta@asuransi-harta.co.id,5727589,0,,Asuransi Umum Konvensional,,AHAP,Asuransi Harta Aman Pratama Tbk,,01.360.902.9-054.000,Pengembangan,Keuangan,Asuransi,1990-09-14T00:00:00,"5702060, 5746789 (hunting)",www.asuransi-harta.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AHAP.jpg
PT. Sinartama Gunita,0,,False,False,False,True,False,Batu Bara,Produksi Batu Bara,corporate@aims.co.id,(021) 7392909,0,,Perdagangan Umum dan Distribusi,,AIMS,Akbar Indomakmur Stimec Tbk,,01.820.068.3-054.000,Pengembangan,Energi,"Minyak, Gas & Batu Bara",2001-07-20T00:00:00,(021) 7221279,https://www.aims.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AIMS.jpg
,0,,False,False,True,True,False,Makanan Olahan,Makanan Olahan,corporate.secretary@fksfs.co.id,021 - 50889838,0,,Industri Mie,,AISA,PT FKS Food Sejahtera Tbk,-,01.504.513.1-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,1997-06-11T00:00:00,021 - 50889898,www.fksfs.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AISA.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",info@kagumgroup.com,022-2035013,0,,Pariwisata,,AKKU,PT Anugerah Kagum Karya Utama Tbk,-,02.038.425.1-054.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,2004-11-01T00:00:00,022-2035013,kagumgroup.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AKKU.jpg
PT. Raya Saham Registra,0,,False,False,False,True,False,Barang Kimia,Barang Kimia Khusus,theo@arghakarya.com,"021-87902024, 8764155",0,,Plastics and Packaging,,AKPI,Argha Karya Prima Ind. Tbk,-,01.000.863.9-054.000,Pengembangan,Barang Baku,Barang Baku,1992-12-18T00:00:00,021-8572707,http://www.arghakarya.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AKPI.jpg
,0,,False,False,True,True,False,Minyak & Gas,Penyimpanan & Distribusi Minyak & Gas,corporate.secretary@akr.co.id,(021) 531 1185,0,,Perdagangan dan Distribusi BBM dan Bahan Kimia Dasar,,AKRA,PT AKR Corporindo Tbk.,,01.132.905.9-092.000,Utama,Energi,"Minyak, Gas & Batu Bara",1994-10-03T00:00:00,(021) 531 1110,www.akr.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AKRA.jpg
PT. Sharestar Indonesia,0,,False,False,False,True,False,Logistik & Pengantaran,Logistik & Pengantaran,agus.amirsyah@mesmineral.co.id,-,0,,Securities Company,,AKSI,PT Mineral Sumberdaya Mandiri Tbk,,01.349.129-5-054-000,Pengembangan,Transportasi & Logistik,Logistik & Pengantaran,2001-07-13T00:00:00,02150105669,www.mesmineral.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AKSI.jpg
PT. Sinartama Gunita,0,,False,False,False,True,False,Wadah & Kemasan,Wadah & Kemasan,kuswara@alkindo.co.id ,"(022) 603 6489, 600 4508 ",0,,Industri pengolahan kertas serta pemasaran dan penjualan hasil industri baik lokal maupun ekspor,,ALDO,Alkindo Naratama Tbk,-,01.671.242.4-054.000 ,Pengembangan,Barang Baku,Barang Baku,2011-07-12T00:00:00," (022) 601 1220, 602 8277 ",www.alkindo.co.id ,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ALDO.jpg
PT. Raya Saham Registra,0,,False,False,False,True,False,Logam & Mineral,Alumunium,corsec@ai.alakasa.co.id,(021)4603574; (021)4608856,0,,Investment Company,,ALKA,Alakasa Industrindo Tbk,,01.000.166.7-054.000,Pengembangan,Barang Baku,Barang Baku,1990-07-12T00:00:00,"(021)460-88-55
",0,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ALKA.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Logam & Mineral,Alumunium,cs@alumindo.com,"+62-31-3533055, 3533218",0,,Metal and Alied Products,,ALMI,Alumindo Light Metal Industry Tbk,,01.122.572.9-092.000,Pengembangan,Barang Baku,Barang Baku,1997-01-02T00:00:00,"+62-31-3531445, 3541040",www.alumindo.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ALMI.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Minuman,Minuman Ringan,corsec@ALTOspringswater.com ,(0266) 731 319 dan (021) 5301 620 ,0,,"Bergerak dalam bidang usaha makanan, minuman dan air mineral.",,ALTO,Tri Banyan Tirta Tbk,-,01.761.303.5-054.000,Utama,Barang Konsumen Primer,Makanan & Minuman,2012-07-10T00:00:00,(0266) 735 813 dan (021) 5300 689,www.ALTOspringswater.com ,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ALTO.jpg
PT. Raya Saham Registra,0,,False,False,False,True,False,Asuransi,Asuransi Umum,israeni@mag.co.id,(021) 7250223,0,,Asuransi Kerugian ,,AMAG,Asuransi Multi Artha Guna Tbk,,01.108.165.0-054.000,Pengembangan,Keuangan,Asuransi,2005-12-23T00:00:00,(021) 2700590,www.mag.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMAG.jpg
PT. Bima Registra,0,,False,False,False,True,False,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,info@mbagroup.id,(62-21) 2119 1008,0,,Pembangunan kawasan industri dan jasa kawasan industri serta investasi pada Entitas Anak yang bergerak di bidang perhotelan,,AMAN,PT Makmur Berkah Amanda Tbk.,,02.480.197.9-617.001,Utama,Properti & Real Estat,Properti & Real Estat,2020-03-13T00:00:00,(62-21) 2119 2888,mbagroup.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMAN.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Bank,Bank,corsec@amarbank.co.id,(031) 9901595,0,,Perbankan Umum Swasta,,AMAR,PT Bank Amar Indonesia Tbk.,,01.526.905.3-619.000,Pengembangan,Keuangan,Bank,2020-01-09T00:00:00,(031) 99015959,www.amarbank.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMAR.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,adimulya.sukmana@agc.com,"021-6919245, 6918820",0,,"Ceramics, Glass, Porcelain ",,AMFG,Asahimas Flat Glass Tbk,,01.000.161.8-092.000,Utama,Perindustrian,Barang Perindustrian,1995-11-08T00:00:00,(021) 6904041 ext 1042,www.amfg.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMFG.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Mesin,Mesin & Komponen Perindustrian,corsec@atmindo.co.id,(061) 794 7755,0,,Bidang Industri Manufaktur dan Perakitan Mesin Industri,,AMIN,PT Ateliers Mecaniques D Indonesie Tbk.,,01.001.807.5-055.000,Pengembangan,Perindustrian,Barang Perindustrian,2015-12-10T00:00:00,(061) 794 7751,www.atmindoboiler.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMIN.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",corsec@agungmm.com,021-29023180,0,,Menjalankan usaha dalam bidang jasa sarana produksi budidaya ikan air payau dan jasa pasca panen budidaya ikan air payau,,AMMS,PT Agung Menjangan Mas Tbk,,02.604.240-8-018.000,Akselerasi,Barang Konsumen Primer,Makanan & Minuman,2022-08-04T00:00:00,(021)-29023178,www.agungmm.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMMS.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Jasa Investasi,Manajemen Investasi,cosec.indonesia@ashmoregroup.com,(021) 2953 9001,0,,"jasa perusahaan efek, yaitu jasa manajer investasi, dan jasa penasihat investasi",,AMOR,PT Ashmore Asset Management Indonesia Tbk.,,0,Pengembangan,Keuangan,Jasa Investasi,2020-01-14T00:00:00,(021) 2953 9000,www.ashmoregroup.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMOR.jpg
,0,,False,False,True,True,False,Perdagangan Ritel Barang Primer,Supermarket,corsec@sat.co.id / investor_relations@sat.co.id,021-80821556,0,,Retail Trade ,,AMRT,PT Sumber Alfaria Trijaya Tbk.,01.336.238.9-054.000,01.336.238.9-054.000,Utama,Barang Konsumen Primer,Perdagangan Ritel Barang Primer,2009-01-15T00:00:00,021-80821555,www.alfamart.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/AMRT.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,corpsec@andiraagro.com,0218564956,0,,"Perkebunan, Pertanian, dan Agroindustri",,ANDI,PT Andira Agro Tbk,,01.683.553.0-072.000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2018-08-16T00:00:00,0218564955,www.andiraagro.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ANDI.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan,corsec@anj-group.com ,(62-21) 2965 1788 ,0,,"Perdagangan, jasa dan pengoperasian perkebunan, pengolahan dan perdagangan produk kelapa sawit baik sendiri maupun melalui Entitas Anak, pengolahan dan perdagangan produk sagu serta produksi dan penggunaan energi terbarukan dan kelistrikan melalui Entitas Anak.",,ANJT,PT Austindo Nusantara Jaya Tbk.,PEM-00483/WPJ.04/KP.1103/2007 ,01.626.081.2-054.000 ,Utama,Barang Konsumen Primer,Makanan & Minuman,2013-05-08T00:00:00,(62-21) 2965 1777 ,www.anj-group.com ,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ANJT.jpg
PT. Datindo Entrycom,0,,False,False,True,True,False,Logam & Mineral,Logam & Mineral Lainnya,corsec@antam.com,021-7812822,0,,Metal and Mineral Mining ,,ANTM,Aneka Tambang Tbk.,,01.001.663.2-051.000,Utama,Barang Baku,Barang Baku,1997-11-27T00:00:00,"021-7805119; 021-7891234 ; 021-7812635 
",http://www.antam.com/,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ANTM.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,"Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas,info@apexindo.coom,(021) 29333111,0,,"Bergerak di bidang pengeboran minyak, gas dan panas bumi",,APEX,Apexindo Pratama Duta Tbk,,01.374.289.5-054.000,Pengembangan,Energi,"Minyak, Gas & Batu Bara",2013-06-05T00:00:00,(021) 29333000,http://www.apexindo.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APEX.jpg
PT. Sinartama Gunita,0,,False,False,False,True,False,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan,corpsec@apic.co.id, 021-39502901,0,,Investment Company,,APIC,PACIFIC STRATEGIC FINANCIAL Tbk,-,01.341.811.6-054.000,Pengembangan,Keuangan,Perusahaan Holding & Investasi,2002-12-18T00:00:00, 021-39502900,www.apic.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APIC.jpg
PT. Bima Registra,0,,False,False,False,True,False,Mesin,Mesin & Komponen Perindustrian,corsec@aritaglobal.co.id,(62-21) 6516107,0,,"Perdagangan ekspor dan impor barang-barang logam yang mencakupvalve, fitting dan produk terkait lainnya",,APII,PT Arita Prima Indonesia Tbk.,,02.005.399.7-059.000,Pengembangan,Perindustrian,Barang Perindustrian,2013-10-29T00:00:00,(62-21) 6519188,www.arita.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APII.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Barang Kimia,Barang Kimia Khusus,sec@asiaplast.co.id,021-5901464,0,,Plastics and Packaging,,APLI,Asiaplast Industries Tbk,-,01.564.831.4-054.000,Utama,Barang Baku,Barang Baku,2000-05-01T00:00:00,021-5901465,-,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APLI.jpg
,0,,False,False,True,True,False,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,APLN.SP@agungpodomoroland.com,021-29034556,0,,"Pengembangan, pengelolaan dan penyewaan properti terpadu yang meliputi apartemen, perumahan, perhotelan, perkantoran, pertokoan, pusat perbelanjaan dan pusat rekreasi beserta fasilitasnya melalui Perseroan maupun Entitas Anak Perseroan",,APLN,PT Agung Podomoro Land Tbk.,-,02.380.812.4-054.000,Utama,Properti & Real Estat,Properti & Real Estat,2010-11-11T00:00:00,021-29034567,www.agungpodomoroland.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/APLN.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Logam & Mineral,Emas,corsec@archimining.com,+62 21 576 1720,0,,"Perusahaan holding di bidang pertambangan mineral (antara lain, emas dan perak)",,ARCI,PT Archi Indonesia Tbk,,03.088.742.6-063.000,Utama,Barang Baku,Barang Baku,2021-06-28T00:00:00,+62 21 576 1719,www.archiindonesia.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARCI.jpg
PT. EDI Indonesia,0,,False,False,False,True,False,Pakaian & Barang Mewah,Tekstil,corp-secretary@argopantes.com,(021) 2520029,0,,Industri Pakaian Jadi dan Tekstil,,ARGO,Argo Pantes Tbk,,01.001.018.9-092.000,Pengembangan,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,1991-01-07T00:00:00,(021) 2520065-(021) 2520068,argo.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARGO.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Batu Bara,Produksi Batu Bara,corsec@atlas-coal.co.id,021-71792708,0,,Perdagangan dan Pertambangan,,ARII,Atlas Resources Tbk,-,02.671.807.2-063.000,Pengembangan,Energi,"Minyak, Gas & Batu Bara",2011-11-08T00:00:00,021-7193343,www.atlas-coal.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARII.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Mesin,Mesin & Komponen Perindustrian,corporate.secretary@arkhajayanti.co.id,Fax : 021-87916364,0,,"Menjalankan usaha dalam bidang industri manufaktur dan fabrikasi komponen alat-alat berat, karoseri body dump truck, kontruksi baja, fabrikasi Oil & Gas equipment dan jasa pengangkutan batubara.",,ARKA,PT Arkha Jayanti Persada Tbk.,,01.910.633.5-431.000,Pengembangan,Perindustrian,Barang Perindustrian,2019-07-10T00:00:00,021 - 87918903,www.arkhajayanti.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARKA.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Utilitas Listrik,Utilitas Listrik,corporate.secretary@arkora.com,+62 21-29333-298,0,,Pembangkitan tenaga listrik melalui sumber energi baru dan terbarukan yang berasal dari aliran air (Pembangkit Listrik Tenaga Air),,ARKO,PT Arkora Hydro Tbk.,,03.047.096.7-012.000,Pengembangan,Infrastruktur,Utilitas,2022-07-08T00:00:00,+62 21-29333-288; 021-29333-299,www.arkora-hydro.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARKO.jpg
PT. Ficomindo Buana Registrar,0,,False,False,False,True,False,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat,yudi@armidian.co.id,0215213412,0,,"Bidang pembangunan, jasa dan perdagangan",,ARMY,PT Armidian Karyatama Tbk,,01.680.752.1-419.000,Pengembangan,Properti & Real Estat,Properti & Real Estat,2017-06-21T00:00:00,0215226810,www.armidian.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARMY.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan,corsec@arwanacitra.com,(021) 58302361,0,,Bahan Bangunan Keramik,,ARNA,Arwana Citramulia Tbk,,01.609.796.6-054.000,UTAMA,Perindustrian,Barang Perindustrian,2001-07-17T00:00:00,(021) 58302363,0,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARNA.jpg
PT. Adimitra Jasa Korpora,0,,False,False,False,True,False,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar",corpsec@arthavest.com,021-3453075,0,,Perusahaan Investasi ,,ARTA,Arthavest Tbk,,01.356.069.3-054.000,Pengembangan,Barang Konsumen Non-Primer,Jasa Konsumen,2002-11-05T00:00:00,021-31116101,www.arthavest.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARTA.jpg
PT. Ficomindo Buana Registrar,0,,False,False,False,True,False,"Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara",	corsec@ratuprabuenergi.com,	(021) 780-8037 ,0,,Crude Petroleum and Natural Gas Prod.,,ARTI,Ratu Prabu Energi Tbk,,	01.703.684.9-054.000 ,Pengembangan,Energi,"Minyak, Gas & Batu Bara",2003-04-30T00:00:00,	(021) 7883-6836 ,	www.ratuprabuenergi.com ,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARTI.jpg
PT. Ficomindo Buana Registrar,0,,False,False,False,True,False,Bank,Bank,corporate.communications@jago.com,021-50927479 & 021-50927499,0,,Perbankan,,ARTO,PT Bank Jago Tbk.,-,01.555.591.5-441.000,Pengembangan,Keuangan,Bank,2016-01-12T00:00:00,021-50927460 & 021-50927490,www.jago.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ARTO.jpg
PT. Bima Registra,0,,False,False,False,True,False,Asuransi,Asuransi Umum,jenry.cardo@asuransibintang.com,7590 2555,0,,Asuransi Kerugian ,,ASBI,Asuransi Bintang Tbk,,01.306.897.8-054.000,Pengembangan,Keuangan,Asuransi,1989-11-29T00:00:00,7590 2777,www.asuransibintang.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ASBI.jpg
PT. Datindo Entrycom,0,,False,False,False,True,False,Asuransi,Asuransi Umum,csecretary@dayinmitra.com ,021-3453457,0,,Asuransi Kerugian ,,ASDM,Asuransi Dayin Mitra Tbk,,01.316.236.7-054.000 ,Utama,Keuangan,Asuransi,1989-12-15T00:00:00,021-80868888,www.asuransidayinmitra.com,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ASDM.jpg
PT. Raya Saham Registra,0,,False,False,False,True,False,Jasa Komersial,Jasa Pendukung Bisnis,melinda.pudjo@astragraphia.co.id,021 - 3909388 ,0,,Computer and Services,,ASGR,Astra Graphia Tbk,, 01.307.261.6-054.000  ,Utama,Perindustrian,Jasa Perindustrian,1989-11-15T00:00:00,021 - 3909190 ,www.astragraphia.co.id ,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ASGR.jpg
PT. Sinartama Gunita,0,,False,False,False,True,False,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas",corpsecretary@csfi.co.id,,0,,Perdagangan Besar Hasil Perikanan dan Aktivitas Cold Storage,,ASHA,PT Cilacap Samudera Fishing Industry Tbk,,019612019522000,Pengembangan,Barang Konsumen Primer,Makanan & Minuman,2022-05-27T00:00:00,+6221-66604850,www.csfi.co.id,0,/Portals/0/StaticData/ListedCompanies/LogoEmiten/ASHA.jpg
